Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
ACTIONAID INTERNATIONAL KENYA,aaik,0,0,1,1,0,0,0,0,0,0,0,0,Annual
ADD International (Action on Disability and Development),addinternational,1,2,0,0,0,0,0,0,0,0,0,0,Annual
ADRA-UK,adrauk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
AECOM,aecom,0,1,0,1,0,0,0,0,0,0,0,0,Annual
AFELT,afelt,0,1,0,1,0,0,0,0,0,0,0,0,Annual
AFEW International,afewinternational,1,0,0,0,0,0,0,0,0,0,0,0,Annual
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,1,1,1,1,0,0,0,0,0,0,0,0,Annual
APT Action on Poverty,apt,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Able Child Africa,ablechildafrica,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Accelerator Nepal,acceleratornepal,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Access to Medicine Foundation,atmf,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Accountability Lab,alab,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Action Against Hunger UK,acf,0,0,1,0,0,0,0,0,0,0,0,0,Annual
ActionAid Rwanda,aar,0,1,0,0,0,0,0,0,0,0,0,0,Annual
ActionAid UK,aauk,1,1,0,1,0,0,0,0,0,0,0,0,Annual
Adam Smith International,asi,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Administração de Infra-Estruturas de Águas e Saneamento,aias,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Afghanaid,afghanaid,1,0,0,1,0,0,0,0,0,0,0,0,Annual
African Center for Economic Transformation (ACET),acet,0,0,1,0,0,0,0,0,0,0,0,0,Annual
African Development Bank,afdb,0,1,1,1,0,0,0,0,0,0,0,0,Annual
African Initiatives,ai_1064413,1,0,0,0,0,0,0,0,0,0,0,0,Annual
African Women's Development Fund,awdf,0,0,0,1,0,0,0,0,0,0,0,0,Annual
AgDevCo,agdevco,0,0,2,0,0,0,0,0,0,0,0,0,Annual
Aga Khan Foundation (United Kingdom),akfuk73,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Agence Française de Développement,afd,2,0,1,2,0,0,0,0,0,0,0,0,Annual
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Akvo Foundation,akvo,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Amref Health Africa Headquarters,amrefhq,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Anti-Slavery International,asil,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Ashoka East Africa,ashoka,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Asian Development Bank,asdb,0,1,1,1,0,0,0,0,0,0,0,0,Annual
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Australia - Department of  Foreign Affairs and Trade,ausgov,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Avanti Communications Plc,ava_admin,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Belgian Development Cooperation,be-dgd,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Bill & Melinda Gates Foundation,bmgf,1,1,0,2,0,0,0,0,0,0,0,0,Annual
Bond,bond,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Both ENDS,bothends,0,1,0,1,0,0,0,0,0,0,0,0,Annual
British & Irish Agencies Afghanistan Group,baag,1,0,0,0,0,0,0,0,0,0,0,0,Annual
British Asian Trust,b_a_t,0,1,0,1,0,0,0,0,0,0,0,0,Annual
British Council,britishcouncil,1,0,1,0,0,0,0,0,0,0,0,0,Annual
British Red Cross,gb-chc-220949,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Broederlijk Delen,bd,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Build Africa,buildafrica,0,1,0,0,0,0,0,0,0,0,0,0,Annual
CARE International UK,ciuk,0,1,0,2,0,0,0,0,0,0,0,0,Annual
CARE Nederland,carenederland,0,1,0,0,0,0,0,0,0,0,0,0,Annual
CARE Nepal,cnepal,0,0,0,1,0,0,0,0,0,0,0,0,Annual
CARE SOMALIA,csom1,0,0,1,0,0,0,0,0,0,0,0,0,Annual
CHOICE for Youth and Sexuality,cfyas,0,1,0,0,0,0,0,0,0,0,0,0,Annual
CISU,cisu,0,0,0,1,0,0,0,0,0,0,0,0,Annual
COC Nederland,cocnl_publisher,0,1,0,0,0,0,0,0,0,0,0,0,Annual
COWI,cowi,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Camfed International,camfed,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,8,7,5,10,0,0,0,0,0,0,0,0,Annual
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Canada Department of Finance / Ministère des Finances Canada,finance_canada,0,1,1,0,0,0,0,0,0,0,0,0,Annual
Cardno Emerging Markets,cardnoem,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Caritas Denmark,caritas_denmark,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Caritas International (Belgium),cibe,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Catholic Agency For Overseas Development (CAFOD),cafod,4,0,0,2,0,0,0,0,0,0,0,0,Annual
Catholic Relief Services,crs,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Centre Tricontinental - CETRI,ct-admin,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Chemonics International Inc.,chemonics,0,1,0,0,0,0,0,0,0,0,0,0,Annual
ChildHope UK,childhopeuk,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Christian Aid,caid,1,0,0,2,0,0,0,0,0,0,0,0,Annual
Climate Investment Funds,cif,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Clinton Health Access Initiative,chai,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Coffey International Development,coffey,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Comité pour l'abolition des dettes illégitimes,cadtm,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Concern Worldwide,concern_worldwide,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Concern Worldwide UK,concernuk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Conciliation Resources,cr,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Cordaid,cordaid,0,1,0,2,0,0,0,0,0,0,0,0,Annual
Crown Agents Limited,cal,0,0,0,1,0,0,0,0,0,0,0,0,Annual
DAI Europe,dai-e,1,1,0,0,0,0,0,0,0,0,0,0,Annual
DanChurchAid,dca,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Danish Red Cross,danishrc,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Danish Refugee Council,drc,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Danmission,danmission,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Data4Development,d4d,1,0,0,0,0,0,0,0,0,0,0,0,Annual
David Gordon Memorial Hospital,dgmh,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Dawuro Development Association,dawuro_da,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Democracy Reporting International gGmbH,dri,0,0,0,1,0,0,0,0,0,0,0,0,Annual
"Denmark - Ministry of Foreign Affairs, Danida",danida,6,6,5,9,0,0,0,0,0,0,0,0,Annual
Department for International Trade,dit,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Development Initiatives Poverty Research,dipr,0,2,1,1,0,0,0,0,0,0,0,0,Annual
Direcção Provincial de Saúde de Nampula,dps-nampula,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Disability and Development Partners,ddp,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Disasters Emergency Committee,dec-uk,0,0,1,0,0,0,0,0,0,0,0,0,Annual
"Discovery Learning Alliance, Inc.",dla,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Dorcas Aid International,dai,0,2,0,0,0,0,0,0,0,0,0,0,Annual
ECDPM,ecdpm,0,0,0,1,0,0,0,0,0,0,0,0,Annual
EDUCATION DEVELOPMENT TRUST - RWANDA,edt_rwanda,0,0,0,1,0,0,0,0,0,0,0,0,Annual
EMMS International,emms,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Ecorys UK,ecuk,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Edukans Foundation,edukans_foundation,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Ethiopiaid UK,ethiopiaiduk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
European Bank for Reconstruction and Development,ebrd,0,1,1,2,0,0,0,0,0,0,0,0,Annual
European Commission - Directorate-General for International Cooperation and Development,ec-devco,4,0,2,2,0,0,0,0,0,0,0,0,Annual
European Commission - Humanitarian Aid & Civil Protection,ec-echo,7,6,3,9,0,0,0,0,0,0,0,0,Annual
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,4,0,2,2,0,0,0,0,0,0,0,0,Annual
European Commission - Service for Foreign Policy Instruments,ec-fpi,2,0,2,1,0,0,0,0,0,0,0,0,Annual
European Investment Bank,eib,1,1,1,1,0,0,0,0,0,0,0,0,Annual
European Journalism Centre,ejc,0,1,0,0,0,0,0,0,0,0,0,0,Annual
FMO,fmo,0,0,0,1,0,0,0,0,0,0,0,0,Annual
FONCABA ASBL KBA VZW,foncaba,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Fair Wear Foundation,fwf,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Farm Africa,fa,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Farm Concern International,fci,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Feed the Minds,ftm-291333,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Finland - Ministry for Foreign Affairs,finland_mfa,2,3,1,0,0,0,0,0,0,0,0,0,Annual
Fondo Centroamericano de Mujeres,fcam,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Food and Agriculture Organization of the United Nations (FAO),fao,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Food for the Hungry UK,fh,1,0,0,1,0,0,0,0,0,0,0,0,Annual
France - Ministry for Europe and Foreign Affairs,france,7,7,5,10,0,0,0,0,0,0,0,0,Annual
Free Press Unlimited,free_press_unlimited,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Free a Girl,freeagirl,2,0,0,2,0,0,0,0,0,0,0,0,Annual
Friends of Publish What You Fund,friendsofpwyf,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Friends of the Earth International,foei,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Frontline AIDS,f-aids,0,0,1,0,0,0,0,0,0,0,0,0,Annual
GOAL,goal,0,1,0,0,0,0,0,0,0,0,0,0,Annual
GPPAC Foundation,gppac,0,1,0,0,0,0,0,0,0,0,0,0,Annual
"Gavi, the vaccine alliance",gavi,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Geneva Centre for the Democratic Control of Armed Forces (DCAF),dcaf,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Geneva International Centre for Humanitarian Demining,gichd,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Germany - Federal Foreign Office,fo_germany,1,0,1,1,0,0,0,0,0,0,0,0,Annual
Germany - Ministry for Economic Cooperation and Development,bmz,1,0,1,1,0,0,0,0,0,0,0,0,Annual
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Global Canopy,globalcanopy,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Global Innovation Fund,gif,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Global Rights Compliance,grc2018,0,0,1,0,0,0,0,0,0,0,0,0,Annual
GlobalGiving.org,globalgiving,7,7,5,10,0,0,0,0,0,0,0,0,Annual
Gulu University,guluuni,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Guttmacher Institute,guttmacher,0,0,1,0,0,0,0,0,0,0,0,0,Annual
HE Foundation,hefoundation,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Handicap International UK,hiuk,0,1,0,2,0,0,0,0,0,0,0,0,Annual
Health Poverty Action,hpa,0,1,0,0,0,0,0,0,0,0,0,0,Annual
HelpAge International,helpage_international,0,0,0,2,0,0,0,0,0,0,0,0,Annual
HelpAge International UK,ageintl,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Hivos,stichting_hivos,4,6,3,9,0,0,0,0,0,0,0,0,Annual
Hope and Homes for Children,hhc,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Hope for Children,hfc,1,0,1,0,0,0,0,0,0,0,0,0,Annual
Humanitarian Quality Assurance Initiative,hqai,0,0,1,1,0,0,0,0,0,0,0,0,Annual
ICCO Cooperation,icco-cooperation,1,3,1,1,0,0,0,0,0,0,0,0,Annual
ICF Consulting Services Ltd,icf,0,0,1,0,0,0,0,0,0,0,0,0,Annual
IHE Delft Institute for Water Education,ihedelft,0,0,0,1,0,0,0,0,0,0,0,0,Annual
IMC WORLDWIDE,imcw_admin,1,0,2,2,0,0,0,0,0,0,0,0,Annual
IRC,irc,0,1,0,0,0,0,0,0,0,0,0,0,Annual
IUCN Nederlands Comité,iucn_nl,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Instiglio,instiglio,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,ifsi_isvi,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Institute of Development Studies,ids,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Integrity Action,integrity_action,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Inter-American Development Bank,iadb,0,2,0,1,0,0,0,0,0,0,0,0,Annual
InterAction's NGO Aid Map,ia_nam,1,1,1,1,0,0,0,0,0,0,0,0,Annual
International Alert,international-alert,0,0,1,0,0,0,0,0,0,0,0,0,Annual
International Bureau of Fiscal Documentation (IBFD),ibfd,0,0,0,1,0,0,0,0,0,0,0,0,Annual
International Committee of the Red Cross (ICRC),icrc,0,0,1,0,0,0,0,0,0,0,0,0,Annual
International Council of Voluntary Agencies,icva,0,0,0,1,0,0,0,0,0,0,0,0,Annual
International Development Law Organization (IDLO),idlo,2,1,1,2,0,0,0,0,0,0,0,0,Annual
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,1,0,1,1,0,0,0,0,0,0,0,0,Annual
International Finance Corporation,ifcwbg,1,1,1,1,0,0,0,0,0,0,0,0,Annual
International Fund for Agricultural Development (IFAD),ifad,5,5,4,9,0,0,0,0,0,0,0,0,Annual
International Medical Corps UK,imc_uk,0,1,0,1,0,0,0,0,0,0,0,0,Annual
International Network for Advancing Science and Policy,inasp,0,1,0,1,0,0,0,0,0,0,0,0,Annual
International Organization for Migration (IOM),iom,0,0,1,0,0,0,0,0,0,0,0,0,Annual
International Planned Parenthood Federation,ippf,1,0,0,2,0,0,0,0,0,0,0,0,Annual
International Rescue Committee UK,irc_uk,1,1,1,0,0,0,0,0,0,0,0,0,Annual
International Women's Development Agency,iwda,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Internews Europe,ieu,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Ipas,ipas,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Irise International,irise_int,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Irrawaddy Policy Exchange,ipe,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Islamic Relief Worldwide,irw,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Joshua Orphan and Community Care,jocc_uk,1,0,0,0,0,0,0,0,0,0,0,0,Annual
KPMG East Africa,kpmgea,0,1,1,1,0,0,0,0,0,0,0,0,Annual
KPMG LLP,kpmgllp,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Karuna Mission Social Solidarity - KMSS,kmss,0,0,0,1,0,0,0,0,0,0,0,0,Annual
King Salman Humanitarian Aid and Relief Centre,ksrelief291,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,0,1,0,0,0,0,0,0,0,0,0,0,Annual
LIGHT FOR THE WORLD The Netherlands,lftwnl,0,0,1,0,0,0,0,0,0,0,0,0,Annual
LIWA programme trust,liwa-admin,0,1,0,0,0,0,0,0,0,0,0,0,Annual
LTS International Limited,lts,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Leonard Cheshire Disability,lcd_admin,0,1,1,1,0,0,0,0,0,0,0,0,Annual
Link Community Development International,lcdi_admin,0,0,1,0,0,0,0,0,0,0,0,0,Annual
MAG,mag,0,0,2,0,0,0,0,0,0,0,0,0,Annual
MVO Nederland,mvo_nederland,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Mainline,mainline,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Malaria Consortium,malariaconsortium,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Mama Cash,mamac,0,1,0,0,0,0,0,0,0,0,0,0,Annual
MannionDaniels,manniondaniels,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Marie Stopes International,msi,0,0,2,0,0,0,0,0,0,0,0,0,Annual
Max Foundation,max-foundation,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Medair,medair,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Mercy Corps Europe,mce,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Milieudefensie,foenl,0,1,1,1,0,0,0,0,0,0,0,0,Annual
Mission Øst,missioneast,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Motivation,motivation,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Mott MacDonald Limited,mml,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Mulanje Mission Hospital,mmh,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Multilateral Investment Fund,fomin,0,2,0,1,0,0,0,0,0,0,0,0,Annual
Musalaha Ministry of Reconciliation,mmr_admin2,0,0,0,1,0,0,0,0,0,0,0,0,Annual
NKHOMA MISSION HOSPITAL,nmhiati,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Nathan Associates London Ltd.,nathan,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Nepal Disabled Human Rights Center,dhrc_nepal,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Netherlands - Ministry of Foreign Affairs,minbuza_nl,1,1,1,0,0,0,0,0,0,0,0,0,Annual
Netherlands Commission for Environmental Assessment,ncea,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Netherlands Enterprise Agency,rvo,0,0,2,1,0,0,0,0,0,0,0,0,Annual
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Netherlands Red Cross,nlrc,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Northern Network for Education Development,nned,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Norwegian Refugee Council,nrc,1,0,0,0,0,0,0,0,0,0,0,0,Annual
OCHA Country Based Pooled Funds,unocha-cbpf,3,7,4,10,0,0,0,0,0,0,0,0,Annual
ODI Sales Limited,odi_sales_ltd,1,0,0,0,0,0,0,0,0,0,0,0,Annual
OECD,oecd,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Opportunity International UK,opportunity-international-uk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Options Consultancy Services,options,1,0,1,1,0,0,0,0,0,0,0,0,Annual
Orbis Africa,orbis_africa,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Orbis Charitable Trust,orbis_uk,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Orbis Ethiopia,orbis_ethiopia,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Orbis International,orbis_international,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Overseas Development Institute,odi,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Oxfam America,oxfamus,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Oxfam IBIS,ibis_denmark,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Oxfam Novib,onl,1,1,1,1,0,0,0,0,0,0,0,0,Annual
Oxfam Solidarité-Solidariteit,oxsol,2,1,0,0,0,0,0,0,0,0,0,0,Annual
PATH,_path_,0,0,0,1,0,0,0,0,0,0,0,0,Annual
PAX,pax,0,1,0,0,0,0,0,0,0,0,0,0,Annual
PRACTICA Foundation,practica,0,1,1,0,0,0,0,0,0,0,0,0,Annual
Palladium International Ltd (UK),palladium,0,0,1,0,0,0,0,0,0,0,0,0,Annual
Palliative Care Association of Malawi,pacam,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Palliative Care Support Trust,pcst,0,1,0,1,0,0,0,0,0,0,0,0,Annual
People in Need,pin,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Plan International Belgium,pib,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Plan International Netherlands,plannlno,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Plan International UK,plan_uk,0,0,0,1,0,0,0,0,0,0,0,0,Annual
Plataforma Moçambicana da Água (PLAMA),plama,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Population Service International,psi,0,2,0,0,0,0,0,0,0,0,0,0,Annual
Practical Action,pa,0,0,0,1,0,0,0,0,0,0,0,0,Annual
PricewaterhouseCoopers Private Limited India,pwcplindia,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Protos,protos,0,1,0,0,0,0,0,0,0,0,0,0,Annual
PwC,pwc,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Queen Rania Foundation for Education and Development,qrfed,0,1,0,1,0,0,0,0,0,0,0,0,Annual
Railway Children,rc,1,0,0,1,0,0,0,0,0,0,0,0,Annual
Raleigh International,raleigh_int,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Red Cross Red Crescent Climate Centre,climate_centre,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Regional Advisory Information and Network Systems,rains,1,0,0,0,0,0,0,0,0,0,0,0,Annual
Republic of Korea,odakorea,0,0,1,1,0,0,0,0,0,0,0,0,Annual
Rikolto,rikolto,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Rode Kruis-Vlaanderen Internationaal vzw,rkiv,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Royal Tropical Institute,kit,0,1,0,0,0,0,0,0,0,0,0,0,Annual
Rutgers,rutgers,0,1,2,0,0,0,0,0,0,0,0,0,Annual
